,ID tienda ,Nombre Tienda,Formato Tienda,Municipio,Estado,Calle y Número,Colonia,CP,Coordenadas,Latitud,Longitud
578,621,MEZQUITITO,SÚPER,LA PAZ,BAJA CALIFORNIA SUR,BLVD. FORJADORES DE SUDCALIFORNIA 250,EL MEZQUITO,23083.0,"24.0934,-110.3090",24.0934,-110.309
582,626,PÓRTICOS,SÚPER,ENSENADA,BAJA CALIFORNIA,BLVD. GENERAL LAZARO CARDENAS 310,PARQUE INDUSTRIAL CHAPULTEPEC,22785.0,"31.7824,-116.5859",31.7824,-116.5859
583,627,TERÁN TERÁN,SÚPER,TIJUANA,BAJA CALIFORNIA,BLVD. BELLAS ARTES 20486,CIUDAD INDUSTRIAL,22444.0,"32.5359,-116.9022",32.5359,-116.9022
590,635,GUADALUPE VICTORIA,EXPRESS,GUADALUPE VICTORIA,DURANGO,AV. RICARDO CASTRO OTE. 902,CENTRO,34700.0,"24.4461,-104.1143",24.4461,-104.1143
599,647,OJINAGA,SÚPER,OJINAGA,CHIHUAHUA,BLVD. LIBRE COMERCIO 1512,2 DE OCTUBRE,32885.0,"29.5501,-104.4225",29.5501,-104.4225
601,649,CONSTITUCION SUPER,SÚPER,SAN LUIS RÍO COLORADO,SONORA,CALZ. CONSTITUCION 240,LA MESA,83420.0,"32.4702,-114.7875",32.4702,-114.7875
602,650,OBREGÓN,SÚPER,SAN LUIS RÍO COLORADO,SONORA,AV. OBREGON SN,COMERCIAL,83449.0,"32.4832,-114.7794",32.4832,-114.7794
603,651,CALLE 12,SÚPER,SAN LUIS RÍO COLORADO,SONORA,AV. COAHUILA 1100,SONORA,83440.0,"32.4496,-114.7811",32.4496,-114.7811
604,652,CALLE 26,SÚPER,SAN LUIS RÍO COLORADO,SONORA,AV. 16 SEPTIEMBRE 2601,BUROCRATA,83450.0,"32.4642,-114.7529",32.4642,-114.7529
612,662,LAS LOMAS,HÍPER,DURANGO,DURANGO,BLVD. DEL GUADIANA 406,LOMA DORADA,34100.0,"24.0120,-104.6919",24.012,-104.6919
617,669,PLAZA MUÑOZ,SÚPER,SAN LUIS POTOSÍ,SAN LUIS POTOSÍ,AV. PROLONGACIÓN MUÑOZ 225,FRACC. MUÑOZ,78150.0,"22.1615,-100.9997",22.1615,-100.9997
619,671,SENDERO MAZATLÁN,HÍPER,MAZATLÁN,SINALOA,AV. OSCAR PEREZ ESCOBOSA 8201,VENADILLO,82129.0,"23.2719,-106.4176",23.2719,-106.4176
620,672,PLAZA CITADINA,HÍPER,SOLEDAD DE GRACIANO SÁNCHEZ,SAN LUIS POTOSÍ,CARRETERA MATEHUALA 3600,SOLEDAD DE GRACIANO SÁNCHEZ,78430.0,"22.1823,-100.9500",22.1823,-100.95
636,695,RAFAEL BUELNA,HÍPER,MAZATLÁN,SINALOA,AV. RAFAEL BUELNA 128,ZONA DORADA,82110.0,"23.2399,-106.4426",23.2399,-106.4426
637,696,CULIACAN LA CAMPIÑA ,HÍPER,CULIACÁN,SINALOA,DR. MORA 1725,LA CAMPIÑA,80060.0,"24.8165,-107.3649",24.8165,-107.3649
638,697,HERMOSILLO SOLIDARIDAD,HÍPER,HERMOSILLO,SONORA,BLVD. LUIS DONALDO COLOSIO S/N,VILLA SATELITE,83200.0,"29.0827,-110.9813",29.0827,-110.9813
639,698,PUNTO LA PAZ,HÍPER,LA PAZ,BAJA CALIFORNIA SUR,CARRETERA TRANSPENINSULAR S/N,FRACC. CAPULLO,23090.0,"24.1399,-110.3336",24.1399,-110.3336
643,859,PLAZA FIESTA SLP,MEGA SORIANA,SAN LUIS POTOSÍ,SAN LUIS POTOSÍ,AV. HIMNO NACIONAL 4005,HIMNO NACIONAL,78280.0,"22.1336,-100.9807",22.1336,-100.9807
653,870,PLAZA RIO,HÍPER,TIJUANA,BAJA CALIFORNIA,PASEO DE LOS HEROES 95,PLAZA RIO,22320.0,"32.5289,-117.0211",32.5289,-117.0211
661,878,TANGAMANGA SLP,MEGA SORIANA,SAN LUIS POTOSÍ,SAN LUIS POTOSÍ,AV. SALVADOR NAVA S/N ,TANGAMANGA,78269.0,"22.1393,-100.9997",22.1393,-100.9997
665,882,OTAY,HÍPER,TIJUANA,BAJA CALIFORNIA,LAZARO CARDENAS 5  Y LAS FUENTES,OTAY CONSTITUYENTES,22457.0,"32.5287,-116.9498",32.5287,-116.9498
670,887,PLAYAS,HÍPER,TIJUANA,BAJA CALIFORNIA,AV. OLAS ALTAS 130,PLAYAS TIJUANA SECCCION CORONADO ,2504.0,"32.5325,-117.1127",32.5325,-117.1127
679,897,ENSENADA REFORMA,HÍPER,ENSENADA,BAJA CALIFORNIA,CARRETERA TRANSPENINSULAR 112,MANEADERO,22790.0,"31.8155,-116.5962",31.8155,-116.5962
701,921,CARRANZA MEXICALI,HÍPER,MEXICALI,BAJA CALIFORNIA,BLVD. LAZARO CARDENAS 2000 ,RANCHO LA BODEGA,21239.0,"32.6216,-115.4064",32.6216,-115.4064
706,926,TIJUANA CARRUSEL,HÍPER,TIJUANA,BAJA CALIFORNIA,DIAZ ORDAZ 15602,LAS BRISAS,22610.0,"32.4965,-116.9588",32.4965,-116.9588
721,942,TIJUANA LOS PINOS,HÍPER,TIJUANA,BAJA CALIFORNIA,DIAZ ORDAZ 17151,JARDINES DE LA MESA,22126.0,"32.4644,-116.9315",32.4644,-116.9315
729,950,CONSTITUCIÓN ROSARITO,HÍPER,PLAYAS DE ROSARITO,BAJA CALIFORNIA,AV. JOSE HAROZ AGUILAR 2071,VILLA TURISTICA,22707.0,"32.3674,-117.0564",32.3674,-117.0564
731,952,TIJUANA PLAZA DORADA,HÍPER,TIJUANA,BAJA CALIFORNIA,CUCAPAH 21212,JARDIN DORADO,22586.0,"32.5144,-116.8907",32.5144,-116.8907
740,961,TRIANGULO MEXICALI,HÍPER,MEXICALI,BAJA CALIFORNIA,CALZ. INDUSTRIAL PALACO 1850,EX-EJIDO COAHUILA ,21360.0,"32.6075,-115.4359",32.6075,-115.4359
744,965,ANAHUAC MEXICALI,HÍPER,MEXICALI,BAJA CALIFORNIA,BLVD. LAZARO CARDENAS 900,LA ESPERANZA,21350.0,"32.6221,-115.4782",32.6221,-115.4782
754,975,SANTA FE TIJUANA,HÍPER,TIJUANA,BAJA CALIFORNIA,ORIENTE 7002,LOMAS DEL MAR,22564.0,"32.4464,-117.0347",32.4464,-117.0347
758,980,PLAZA OASIS,HÍPER,TIJUANA,BAJA CALIFORNIA,BLVD. REAL DE BAJA CALIFORNIA 23911,REAL DE SAN FRANCISCO,22236.0,"32.4842,-116.8489",32.4842,-116.8489
765,987,REFUGIO,HÍPER,TIJUANA,BAJA CALIFORNIA,BLVD. EL REFUGIO 22245,EL FLORIDO 4,22245.0,"32.4665,-116.8627",32.4665,-116.8627
768,992,CALAFIA,HÍPER,MEXICALI,BAJA CALIFORNIA,CALZ. LIC. ADOLFO LOPEZ MATEOS 1100,ZONA INDUSTRIAL,21010.0,"32.6420,-115.4697",32.642,-115.4697
769,993,ANAHUAC,HÍPER,MEXICALI,BAJA CALIFORNIA,CALZ. ANAHUAC 1301,RESIDENCIAL CASA MAGNA,21380.0,"32.5934,-115.4754",32.5934,-115.4754
770,994,TRANSPENINSULAR,HÍPER,ENSENADA,BAJA CALIFORNIA,CARRETERA TRANSPENINSULAR 100,CARLOS PACHECO,22890.0,"31.8501,-116.6063",31.8501,-116.6063
771,995,MISION,HÍPER,ENSENADA,BAJA CALIFORNIA,AV. REFORMA 1122,COMERCIAL MISION,22830.0,"31.8707,-116.6074",31.8707,-116.6074
776,1001,TORREON,CITY CLUB,TORREÓN,COAHUILA DE ZARAGOZA,BLVD. REVOLUCION 4100,FRACC. LOS ANGELES,27267.0,"25.5326,-103.4034",25.5326,-103.4034
777,1002,MONCLOVA,CITY CLUB,MONCLOVA,COAHUILA DE ZARAGOZA,HUEMAC 1101,ANAHUAC,25750.0,"26.9014,-101.4356",26.9014,-101.4356
778,1003,CHIHUAHUA,CITY CLUB,CHIHUAHUA,CHIHUAHUA,AV. PERIFERICO DE LA JUVENTUD 6302,FRACC. LOS MEZQUITES,31125.0,"28.6679,-106.1289",28.6679,-106.1289
779,1004,SALTILLO,CITY CLUB,SALTILLO,COAHUILA DE ZARAGOZA,PERIFERICO LUIS ECHEVERRIA 6385,SAN RAMON,25020.0,"25.4177,-100.9709",25.4177,-100.9709
785,1010,SAN LUCAS,CITY CLUB,LOS CABOS,BAJA CALIFORNIA SUR,BLVD. LAZARO CARDENAS ,MEDANO,23450.0,"22.8926,-109.9060",22.8926,-109.906
786,1011,TAMPICO,CITY CLUB,TAMPICO,TAMAULIPAS,AV. EJERCITO MEXICANO 1103,TAMPICO,89137.0,"22.2520,-97.8607",22.252,-97.8607
787,1012,LA PAZ,CITY CLUB,LA PAZ,BAJA CALIFORNIA SUR,CARABINEROS 4010,EX-BASE AEREA,23050.0,"24.1271,-110.3144",24.1271,-110.3144
788,1013,NUEVO LAREDO,CITY CLUB,NUEVO LAREDO,TAMAULIPAS,15 DE SEPTIEMBRE 3001,CAMPESTRE,88278.0,"27.4567,-99.5114",27.4567,-99.5114
789,1014,REYNOSA,CITY CLUB,REYNOSA,TAMAULIPAS,SEXTA SUR 205,LAS FUENTES,88710.0,"26.0722,-98.3209",26.0722,-98.3209
790,1015,DURANGO,CITY CLUB,DURANGO,DURANGO,AV. HEROICO COLEGIO MILITAR 109,NUEVA VIZCAYA,34080.0,"24.0301,-104.6437",24.0301,-104.6437
794,1019,GÓMEZ PALACIO,CITY CLUB,GÓMEZ PALACIO,DURANGO,BLVD. MIGUEL ALEMAN OTE. 117 B,EL CONSUELO,35000.0,"25.5492,-103.4818",25.5492,-103.4818
797,1022,HERMOSILLO,CITY CLUB,HERMOSILLO,SONORA,BLVD. RIO SONORA NORTE 128 A,PROYECTO RIO SONORA,83270.0,"29.0700,-110.9698",29.07,-110.9698
798,1023,CULIACÁN,CITY CLUB,CULIACÁN,SINALOA,BLVD. UNIVERSITARIOS PTE 435 A,DESARROLLO URBANO TRES RIOS,80027.0,"24.8349,-107.3993",24.8349,-107.3993
800,1025,SAN JOSÉ VIEJO,CITY CLUB,LOS CABOS,BAJA CALIFORNIA SUR,CARRETERA TRANSPENINSULAR S/N,SAN JOSE AEROPUERTO,23550.0,"23.1140,-109.7142",23.114,-109.7142
808,1033,PIEDRAS NEGRAS,CITY CLUB,PIEDRAS NEGRAS,COAHUILA DE ZARAGOZA,AMPLIACION REPUBLICA 1800,DEL LAGO,26069.0,"28.7022,-100.5598",28.7022,-100.5598
811,1036,SUPER LEY EXPRESS EL CARRIZO,CASA LEY,AHOME,SINALOA,,,,"26.2666759,-109.0416946",26.2666759,-109.0416946
812,1037,LEY EXPRESS AHOME,CASA LEY,AHOME,SINALOA,,,,"25.77027,-108.962560",25.77027,-108.96256
813,1038,LEY EXPRESS LA REFORMA,CASA LEY,ANGOSTURA,SINALOA,,,,"25.0821821,-108.0552082",25.0821821,-108.0552082
814,1039,LEY EXPRESS BADIRAGUATO,CASA LEY,BADIRAGUATO,SINALOA,,,,"25.3663918,-107.55272",25.3663918,-107.55272
815,1040,LEY EXPRESS CHOIX,CASA LEY,CHOIX,SINALOA,,,,"26.7101209,-108.333323",26.7101209,-108.333323
816,1041,SUPER LEY COSTA RICA,CASA LEY,COSTA RICA,SINALOA,,,,"24.5933333,-107.3927778",24.5933333,-107.3927778
817,1042,PLAZA LEY,CASA LEY,CULIACÁN,SINALOA,,,,"24.7766324,-107.4442162",24.7766324,-107.4442162
818,1043,LEY ABASTOS,CASA LEY,CULIACÁN,SINALOA,,,,"24.7680225,-107.3645706",24.7680225,-107.3645706
819,1044,LEY PALMITO,CASA LEY,CULIACÁN,SINALOA,,,,"24.7852936,-107.4281082",24.7852936,-107.4281082
820,1045,LEY EXPRESS SANALONA,CASA LEY,CULIACÁN,SINALOA,,,,"24.8039081,-107.3606992",24.8039081,-107.3606992
821,1046,LEY EXPRESS LA ESPERANZA,CASA LEY,CULIACÁN,SINALOA,,,,"24.7847098,-107.3611736",24.7847098,-107.3611736
822,1047,LEY CALZADA,CASA LEY,CULIACÁN,SINALOA,,,,"24.7831487,-107.3770838",24.7831487,-107.3770838
823,1048,SUPER LEY EXPRESS ORQUÍDEAS,CASA LEY,CULIACÁN,SINALOA,,,,"24.84151,-107.4266288",24.84151,-107.4266288
824,1049,SUPER LEY EXPRESS UNIVERSITARIOS,CASA LEY,CULIACÁN,SINALOA,,,,"24.8320739,-107.3993544",24.8320739,-107.3993544
825,1050,LEY PASEO SAN ISIDRO,CASA LEY,CULIACÁN,SINALOA,,,,"24.7561159,-107.4118778",24.7561159,-107.4118778
